,Title,cates,commentCount,description,dislikeCount,favoriteCount,likeCount,viewCount
10,"REACCIONANDO AL K-POP #2 ( Blackpink , Twice , BTS ,...) | Uy Albert!","['Music', 'Music_of_Asia']",3440,"Reacciono al K-POP por segunda vez! Y ME ENCANTA!
Videoclips de Blackpink (mis ídolas, soy fan), Twice, BTS, EXO,.. todas las bands del POP COREANO.

PRIMERA PARTE: https://youtu.be/MtTZtiM4jCI

SEGUIDME POR MIS REDES SOCIALES:
• TWITTER  https://twitter.com/uyalbert
• INSTAGRAM  https://www.instagram.com/uyalbert

Email de contacto para marcas y sponsors: 
uyalbertchannel@gmail.com",478,0,55331,458175
11,[Nine Stars] 블랙핑크(BLACKPINK) 우도환(WooDoHwan) 스프라이트와 시원한 여름 되세요!,['Music'],313,"©The JH Media  21일 오전 서울 송파구 서울종합운동장에서 블랙핑크∙우도환 과 함께하는 ‘스프라이트 아일랜드’ 행사 진행됐다. 초대형 워터 버라이어티 뮤직 페스티벌인 ‘스프라이트 at 워터밤’을 통해 ‘쿨섹시돌’ 블랙핑크와 ‘쿨섹시보스’ 우도환이 참석해 다양한 워터 어트랙션과 보기만 해도 시원한 대형 풀장,해변 컨셉의 샘플링 공간 등으로 꾸며진 도심 속 ‘스프라이트 아일랜드’를 배경으로 스프라이트만의 강렬한 상쾌함을 전하는 상쾌한퍼포먼스와 미니토크쇼 등을 진행했다.",185,0,5238,443469
12,BLACKPINK WIN BEST DANCE (  FEMALE ) - MELON MUSIC AWARDS 181201,"['Entertainment', 'Performing_arts']",85,#MELON #MMA #BLACKPINK #WIN #DDUDUDDUDU #181201 #BESTDANCE #FEMALE,101,0,6661,345866
13,มินิเจนนี่ Blackpink โดนชาวเกาหลีโจมตี ยั่วยุหรือมโนไปเอง!,['Lifestyle_(sociology)'],862,"ลิ้งคลิปโฆษณาต้นเรื่อง : shorturl.at/hkAF3

#miniJENNIE #JENNIEBLACKPINK #BLACKPINK",197,0,6175,339357
14,BLACKPINK JENNIE IS SOOOOO DONE WITH HER LIFE,['Music'],810,jennie just being herself is so funny and cute 😂💞😭 cr: to the rightful owner #JENNIE #SOLO #JENNIESOLO #BLACKPINK,197,0,14453,279289
15,How Many Ear Piercings Do Black Pink Members Have ?,['Lifestyle_(sociology)'],274,"Blackpink Rose said she has five ear piercings in total: three on her left and two on her right ear. 

Subscribe to our channel ►https://goo.gl/JS3iaA
---------------★★★★★----------------
Other Videos you might like:

Blackpink Jisoo Looks Extremely 5exy In Prada Miniskirt 
https://www.youtube.com/watch?v=gJM_zW8ijEs

Neitizen Share Proof That BLACKPINK Lisa Never Did Plastic Surgery 
https://www.youtube.com/watch?v=L2HHjE1gyC4

Here're The Dreams BLACKPINK's JiSoo Had And Why She Gave Up On Them
https://www.youtube.com/watch?v=2-ABwB536oU

One dedicated fan pays for a billboard ad in Times Square for Blackpink Jennie's birthday 
https://www.youtube.com/watch?v=7ND3H9o1xvk

Happy Jennie Day! We wish you an outstanding and fabulous birthday! #HappyJennieDay 
https://www.youtube.com/watch?v=Etz_e7I8lfc

The Red Carpet Dress of Blackpink, Red Velvet, IU at 32nd Golden Disc Awards 
https://www.youtube.com/watch?v=snwnjyTJdS4

Recent Photos Of BLACKPINK's Lisa Reveal Her Goddess Like Body Proportions 
https://www.youtube.com/watch?v=DN6ZBm8Xmkg

Big Bang's Seungri gives Blackpink a helpful tip on starting their new reality series 
https://www.youtube.com/watch?v=Vt5URNH1HVA

Yang Hyun Suk Wishes Jisoo Happy Birthday and reveals Black Pink's comeback song 
https://www.youtube.com/watch?v=-q6sEM_Y-3g

BLACKPINK's Jennie Shows Up Wearing Sailor Moon Outfit And BLINKS Went Nuts 
https://www.youtube.com/watch?v=4VryqWf0tIM

---------------★★★★★----------------
Our Social Media
♥ GooglePlus: https://goo.gl/EkTfJn
♥ Facebook: https://goo.gl/Q9biHH
♥ Pinterest: https://goo.gl/GjqLaH
♥ Twitter: https://goo.gl/ZiWTtb
---------------★★★★★----------------",78,0,3717,279062
16,WHY PEOPLE HATE BLACKPINK JENNIE,"['Television_program', 'Entertainment']",1835,"WHY PEOPLE HATE BLACKPINK JENNIE
i don't hate jennie instead this video looks like a video of ""why you should love jennie kim""

JENNIE IS ACTUALLY SHY AND LOVING PERSON IF YOU GET TO KNOW HER BETTER. SO PLEASE STOP HATING HER",856,0,4987,250974
17,POR QUE A JENNIE DO BLACKPINK SOFRE TANTO HATE?,"['Television_program', 'Entertainment']",2091,"Fala com a gente gal, somos a NATY E A ISA! 
E hoje destrincharemos o porquê da Jennie sofrer TANTO HATE! Senta o dedo nesse play e confere aí #blackpink #jenniekim


VIDEO SOBRE JENKAI: https://m.youtube.com/watch?v=bn9hlaJIcJ8&t=17s

Quem somos?
Duas amigas alucinadas pela COREIA DO SUL e resolvemos criar esse canal para trazer para vocês tudo sobre K-POP, K-BEAUTY E K-DRAMAS! Esperamos que vocês gostem.
Teremos vídeo novo toda segunda, a partir das 18hrs no canaL, se interessou? SE INSCREVA AÍ E MOSTRE PRO COLEGUINHA, vamos fazer esses brasuca perder o preconceito com essa Ásia TÃO MARAVILHOSA? Então é isso, Annyeong (안녕)!!!

Vamos ser migos na net? Segue lá:
Twitter - @natisatv
Instagram - @natisatv
Insatagram (pessoal) - @namaral92 / @isagualbertos

Arte da thumbnail: @tetef.silveira
Arte da capa do canal e vinheta: Vitória",356,0,21994,210208
18,Trên tay Galaxy A80 x BlackPink Limited Edition chỉ 25000 bộ,"['Lifestyle_(sociology)', 'Technology']",468,"#GalaxyA80 #nghenhinvietnam #BlackPink #Unbox
Samsung Galaxy A80 là sản phẩm cận cao cấp của nhà Samsung mới được lên kệ tại Việt Nam với mức giá 14.990.000, cùng với đó nếu các bạn đặt hàng sớm thì có thể nhân được thêm bộ quà tặng phụ kiện Black Pink cực kỳ dễ thương. Hãy cùng nghenhinvietnam trên tay bộ quà tặng này nhé!
Kênh video chính thức của tạp chí Nghe Nhìn Việt Nam, các bạn đừng quên bấm theo dõi để cập nhật những video công nghệ hot nhất nhé :)

☞ Liên hệ quảng cáo: 
Email: minhthoan@nghenhinvietnam.vn
☞ Subscribe: https://goo.gl/xX2FjT
☞ Website: http://nghenhinvietnam.vn
☞ Tham gia Group Nghenhinvietnam: https://www.fb.com/tapchinghenhin/
☞ Tương tác với Ngọc Trần: https://www.fb.com/rvngoctran",376,0,3939,200692
19,BLACKPINK | La Lujosa Vida | Forbes,"['Television_program', 'Entertainment']",1836,"BLACKPINK | La Lujosa Vida | Forbes
Suscribir: http://bit.ly/2z5MEbc
Instagram De Ailed: https://www.instagram.com/ailedvg
Vuélvete Un Miembro: https://bit.ly/2OlGqf2 

===========================

Blackpink es un grupo K-POP muy popular que consiste en Jisoo, Jennie, Rose y Lisa. El grupo, formado por YG Entertainment, saco su primer álbum, Square One, en 2016. El álbum incluyo las dos canciones de éxito, Whistle y Boombay. El grupo ha ganado un total de 25 premios, recibiendo 93 nominaciones, también participaría en una gira mundial, lanzaría su segundo EP, Kill This Love y actualmente están saliendo con su gira mundial Kill This LOVE Tour. Y en este video les voy a hablar de todo esto y de en que gastan su dinero las chicas de Blackpink porque esto es la lujosa vida de Blackpink.

#BlackPink
#lalujosavida
#forbes

===========================

Más Videos Que Te Pueden Gustar:

La Lujosa Vida: https://www.youtube.com/playlist?list=PLwA05LypWpSneaepRoaiBRtG8w2RfZkBQ

Antes De Que Fueran Famosos: https://www.youtube.com/playlist?list=PLwA05LypWpSmO8S_VYgrfIrNv_osxaktn

==========================

Canal Principal:
http://www.youtube.com/MrMcCruddenMichael",526,0,10512,183702
20,[Karaoke-Thaisub] SO HOT (THEBLACKLABEL Remix) - BLACKPINK #89brฉั๊บฉั๊บ,"['Pop_music', 'Music_of_Asia', 'Music']",52,"ให้ความวัยรุ่นแซ่บๆสวยๆยุค90มากอ่ะ แร็พดี ร้องดี เต้นดี หน้าตาดี งานดีมากกกกก ฮือ
เราหายไปนานเลยย ติดสอบค่ะ แง้

/ สามารถเข้าไปพูดคุยหรือให้กำลังใจได้ที่แท็ก #89brฉั๊บฉั๊บ ในทวิตเตอร์นะคะ  มาคุยกันเยอะๆน้า ♥

/ ถ้าแปลผิดพลาดประการใด ขออภัยด้วยนะคะ
Do Not Re-Upload / Not For Sale.

:: CREDIT ::
Thai trans/lyrics by 89 Br
ENG trans : ongwannable 


TWITTER : 89__Br ( https://twitter.com/89__Br ) 
FACEBOOK : 89 Br ( https://www.facebook.com/89-Br-169465... )
---------------------------------------------------------------------------------------
ติดตามผลงานการแปลอื่นๆได้ในช่องเลยนะคะ
ขอบคุณทุกกำลังใจด้วยจ้าาา -89 Br-",38,0,2944,178973
21,VIDEO CALL (: BLACKPINK,['Lifestyle_(sociology)'],,,1484,0,1150,178927
22,블랙핑크 마지막처럼 안무 배우기 #1 거울모드 BLACKPINK AS IF IT'S YOUR LAST 설명│홍춘,"['Reggae', 'Music_of_Asia', 'Music', 'Electronic_music']",190,"블랙핑크 마지막처럼 안무 배우기 #1 거울모드 BLACKPINK AS IF IT'S YOUR LAST 설명│홍춘

■ 마지막처럼 안무배우기 설명
#2 https://youtu.be/Tcs27ESGt2w
#3 END https://youtu.be/HFAm_77hmOM

제니 모드 입니다. 제 영상은 모두 거울모드 입니다.
보이는 방향 그대로 따라하시면 되고, 뒷모습은 반대로 따라하셔야 합니다!

■ 안무 배우기 (설명 영상 풀버전) 핑크색 썸네일
한 동작씩 자세하게 설명 해 주는 튜토리얼
춤을 처음 추는 초보자분들을 위한 영상입니다.

─────────────────────────────────
방송 유튜브 ▷ http://bit.ly/2veRfbv
댄스 유튜브 ▷ http://bit.ly/2VWB51Y
틱톡 ID ▷ hongchuntv
페이스북 ▷ https://www.facebook.com/hongchuntv
인스타그램 ▷ https://www.instagram.com/hongchuntv
트위터 ▷ https://twitter.com/hongchuntv
네이버 TV ▷ http://tv.naver.com/replydance

문의/협찬 등 E-mail ▷ hongchuntv@gmail.com

구독 & 좋아요 & 공유하기는 큰 힘이 됩니다 ♥
─────────────────────────────────
#블랙핑크마지막처럼 #마지막처럼 #BLACKPINK #홍춘 #블랙핑크안무배우기 #마지막처럼안무배우기 #BalckpinkASIFIT'SYOURLAST",126,0,1512,162341
23,LIFIA idol junior DI KONSER ROSSA  NYANYI BLACKPINK - ‘뚜두뚜두 (DDU-DU DDU-DU)’ M/V,"['Music', 'Hip_hop_music', 'Music_of_Asia']",,"#DDU_DU_DDU_DU #BLACKPINK #LIFIAlaeticia #rossanyanyilagukorea #lifialaeticia #konserblackpink ..makasih teh oca....HAPPY NEW YEAR 2109 MAY GOD BLESS ALL....
#lifia #lifianers
#BLACKPINK #블랙핑크 #THE1STMINIALBUM #EP #SQUAREUP #뚜두뚜두 #DDU_DU_DDU_DU #MV #20180615 #6PM #OUTNOW #YG
#IDOLJUNIOR2018
#SAATNYAJUNIORJADIIDOLA


LIFIA LAETICIA  TOP10 IDOL JUNIOR 2018

For more info: 
contact  and social media  please go to:

manajer RIVAN : 082231017345

INSTAGRAM  https://www.instagram.com/lifia_laeticia
TWITTER  https://twitter.com/LIFIA_LAETICIA
FACEBOOK: https://www.facebook.com/lifia.laeticia
FANPAGE : https://www.facebook.com/LifiaIdolJr 
WEBSITE : https://www.Lifialaeticia.com


More about BLACKPINK @ 
http://blackpinkofficial.com
https://www.facebook.com/BLACKPINKOFF...
http://www.youtube.com/BLACKPINKOFFICIAL
http://www.twitter.com/ygent_official
http://www.instagram.com/BLACKPINKOFF...",85,0,4456,150553
24,【韓國】BLACKPINK Jisoo神顏值美到爆 臉蛋天才銀優發送愛心甜死人,['Entertainment'],163,"才傳出要和金宇彬結婚的好消息
新慜娥19日出席品牌站台活動
吸引了大批媒體聚集
好久不見的新慜娥歐逆
選擇短馬褲搭配超大墊肩外套
完全就是個帥氣美女
除此之外BLACKPINK Jisoo
姜丹尼爾
以及最近人氣火爆的「直進男」張基龍等人
也都紛紛現身來為品牌站台
可以說是比典禮紅毯還精采的陣容",27,0,1182,148469
25,CELELBRITY STYLE STEAL: BLACKPINK | Sian Lilly,"['Fashion', 'Lifestyle_(sociology)']",309,"Everything mentioned is linked below, Remember if you enjoyed this video then give it a thumbs up & subscribe if you aren't ready ... Ly!

Outfit no.1 :
Jumper - https://goo.gl/Kxqxac
Skirt - https://goo.gl/X9FFHp
Shoes -https://bit.ly/2TydCTW
Bag - (no longer online)

Outfit no.2 : 
Tee - https://bit.ly/2HLQzTR
Bucket hat - https://bit.ly/2S7Ftxz

Outfit no.3 : 
Jeans - https://bit.ly/2S8vxDI
Heels - https://goo.gl/5xZ3tg 
Shirt - https://goo.gl/fMHXq1 

Outfit no.4 :
Blouse - https://goo.gl/FDPWKk 
Skirt - (no longer oline :( )

Outfit no.5 :
Dress - https://goo.gl/8RJKr4 

Shein's site: https://goo.gl/kd4zYC

Want to follow me anywhere else?
🌹Insta - http://bit.ly/2sDU56V
🌹Snap - @sianngarnett


Want to send me something?
sian garnett 
storm management 
1st Floor, 
5 Jubilee Pl, 
London 
SW3 3TD

✉ For any business (only) enquiries: siangarnett9@gmail.com

*virtual hugs for even taking the time out of your day to watch this video*",99,0,7594,146778
26,"[NEWSEN] 블랙핑크(BLACKPINK), 청순미소에 심쿵하게 만든 소녀들 [뉴스엔TV] @IncheonAirport_190125",['Entertainment'],396,"'뉴스엔' 채널 구독하세요! 'Newsen' Subscribe! 클릭! ☞ https://bit.ly/2GZhivT

[인천공항(영종도)=뉴스엔 김기태 기자]

블랙핑크(BLACKPINK) 멤버 지수, 제니, 로제, 리사가 1월 25일 오후 홍콩에서 열리는 블랙핑크 해외투어 인 홍콩 'BLACKPINK 2019 WORLD TOUR [IN YOUR AREA]' 해외 콘서트 일정 차 인천국제공항을 통해 출국했다.

#블랙핑크 #BLACKPINK #인천공항 #공항패션

.
※ Newsen (뉴스엔미디어)
◈ www.newsen.com
◈ https://twitter.com/newsen_t
◈ e-mail : newsen@naver.com (취재 및 보도 요청)",39,0,5198,145837
27,POR QUE A JISOO TEM A MENOR FANBASE DO BLACKPINK?,"['Entertainment', 'Television_program']",2375,"Fala com a gente gal, somos a NATY E A ISA! 
E hoje vamos analisar o porque da JISOO do blackpink ser a membro com a menor fanbase dentro das meninas do BLACKPINK! Se liga aí 
#JISOO #BLACKPINK #블랙핑크


Video sobre a jennie: https://m.youtube.com/watch?v=7KMC-dsyxoc


Quem somos?
Duas amigas alucinadas pela COREIA DO SUL e resolvemos criar esse canal para trazer para vocês tudo sobre K-POP, K-BEAUTY E K-DRAMAS! Esperamos que vocês gostem.
Teremos vídeo novo toda segunda, a partir das 18hrs no canaL, se interessou? SE INSCREVA AÍ E MOSTRE PRO COLEGUINHA, vamos fazer esses brasuca perder o preconceito com essa Ásia TÃO MARAVILHOSA? Então é isso, Annyeong (안녕)!!!

Vamos ser migos na net? Segue lá:
Twitter - @natisatv
Instagram - @natisatv
Insatagram (pessoal) - @namaral92 / @isagualbertos

Arte da thumbnail: @tetef.silveira
Arte da capa do canal e vinheta: Vitória",218,0,19656,143482
28,"[NEWSEN] 블랙핑크(BLACKPINK), 손난로 하나로 행복한 소녀들 [뉴스엔TV] @IncheonAirport_Arrived_190121",['Entertainment'],370,"'뉴스엔' 채널 구독하세요! 'Newsen' Subscribe! 클릭! ☞ https://bit.ly/2GZhivT

[인천공항(영종도)=뉴스엔 김기태 기자]

걸그룹 블랙핑크(BLACKPINK) 멤버 지수, 제니, 로제, 리사가 1월 21일 오전 인도네시아 자카르타에서 열린 'BLACKPINK 2019 WORLD TOUR [IN YOUR AREA] JAKARTA' 해외 콘서트 일정을 마치고 인천국제공항을 통해 입국했다.

#블랙핑크 #BLACKPINK #인천공항 #공항패션 #INYOURAREA


.
※ Newsen (뉴스엔미디어)
◈ www.newsen.com
◈ https://twitter.com/newsen_t
◈ e-mail : newsen@naver.com (취재 및 보도 요청)",45,0,3460,138278
29,When you can't understand Jennie (Blackpink) [REACTION],['Music'],562,"When you can't understand Jennie (Blackpink) [REACTION]

Instagram: https://www.instagram.com/NicholasLightTV
Twitter: https://www.twitter.com/NicholasLightTV
Snapchat: NicholasLightTV

Thank you for watching my reaction :] If you had a good time, make sure you SMACK that SUBSCRIBE button. Join my Pokédex.",78,0,4101,132386
30,¿EL KARMA DE JESSICA?| LEE MIN HO ACTUZALIZA| BLACKPINK TRIUNFAN EN LA RIAA,['Entertainment'],529,"ÁBREME NO TE VAS A ARREPENTIR

Vídeo Anterior
🎬https://youtu.be/XpREER_KFdk

MIS REDES SOCIALES
👍https://facebook.com/snyume
📸https://instagram.com/snyume/
🐤 https://twitter.com/snyumee
🕵️‍♂️https://instagram.com/chismekoreano/
📧CONTACTO NEGOCIOS: shironyume@hotmail.com


🎬MIS OTROS CANALES EN YOUTUBE
💣Noticias de BTS: https://goo.gl/ddqcv7
🏕️Canal de viajes: https://goo.gl/9pXmGL
😱Reacciones de Kpop: https://goo.gl/dwSnkC


Te quiero  😜😚😎

Shiro No Yume es un canal dedicado a temas relacionados con KPOP, KOREA, Y DORAMAS, entérate de las mejores noticias de kpop en este canal, conoce que es lo que tus idols y actores favoritos de Corea del Sur están haciendo.",121,0,6809,127862
31,ความลับที่ชาวบลิ๊งต้องรู้ ของ JISOO BLACKPINK  จีซู แบล๊คพิ้งค์,['Music'],200,"ติดตามข่าวได้ทุกวันที่  https://bit.ly/2H6bUaB

#JISOO #BLACKPINK #JISOOBLACKPINK",52,0,2974,121562
32,【韓國】BLACKPINK Rosé「身材殺」機場時尚炫腰超吸睛,['Entertainment'],190,"BLACKPINK Rosé 23日飛往巴黎參加時尚活動
和舞台上霸氣華麗風格不同
Rosé選擇駝色長外套 滿滿秋天氛圍
而簡單一件短版上衣
隨便露個招牌小蠻腰
怎麼穿都是大寫一個正啊",21,0,1199,111920
33,BlackPink Private Stage 2019 - Rosé and Lisa - L.O.V.E - Reaction,['Entertainment'],423,"My Patreon: https://www.patreon.com/floderfloeng

► Instagram: https://www.instagram.com/floderflo 
►business inquires: business.floderflo@gmail.com

►Original: https://www.youtube.com/watch?v=7flYpmoH5pU

►Send me letters  (are unpacked oncam)
Flo M.
Postfach 11 61
25442 Quickborn
Germany

► 📦 Send me packages (are unpacked oncam)
Flo M.
910374341
Packstation 117
25451 Quickborn
Germany

►Livestreams: https://www.twitch.tv/flo_derflo

Follow me here:
► Twitter: https://twitter.com/FloderFloYT
► Instagram: https://www.instagram.com/floderflo 
► Facebook: http://tinyurl.com/FBfloderflo",46,0,6361,109332
34,BLACKPINK JENNIE LOSING HER SHIT,['Music'],381,"BLACKPINK JENNIE IS LOSING HER SHIT LOL
someone made a request for part 2 so yeah hahhahaha
edited by: @lisamanobangs @chbpg

#BLACKPINK #JENNIE #JENLISA #JENNIESOLO #SOLO",63,0,5231,106429
